"Liquid Calculator","e-Liquid Rechner"
"User input","Benutzereingabe"
"Desired liquid quantity:","Gewünschte Liquidmenge:"
"ml","ml"
"Aroma content:","Anteil Aroma:"
"Strength of nicotine shots:","Stärke der Nikotinshots:"
"mg/ml","mg/ml"
"Desired nicotine strength:","Gewünschte Nikotinstärke:"
"Liquid recipe","Liquidrezept"
"Content","Inhalt"
"Amount","Menge"
"PG/VG nicotine shots:","PG/VG Nikotinshots:"
"PG/VG base (without nicotine):","PG/VG Base (ohne Nikotin):"
"Flavor:","Aroma:"
"Total:","Gesamt:"
