"Liquid Calculator","Liquid Calculator"
"User input","User input"
"Desired liquid quantity:","Desired liquid quantity:"
"ml","ml"
"Aroma content:","Aroma content:"
"Strength of nicotine shots:","Strength of nicotine shots:"
"mg/ml","mg/ml"
"Desired nicotine strength:","Desired nicotine strength:"
"Liquid recipe","Liquid recipe"
"Content","Content"
"Amount","Amount"
"PG/VG nicotine shots:","PG/VG nicotine shots:"
"PG/VG base (without nicotine):","PG/VG base (without nicotine):"
"Flavor:","Flavor:"
"Total:","Total:"
